,review,Sentiment,words_entity_spacy,words_entity_bert
465,"The comments, the new 1 is that companies are creating racial divisions. Either people are blind or choose to ignore the reality of life. Companies that lack diversity does raise questions and representation matters. Why are people acting like companies/brands are causing racial divisions when itâ€™s the truth. ðŸ™„

If you have never experienced what people from different backgrounds experienced why are people commenting like they understand. This is good that NatWest are willing to be better for all. Whatâ€™s the problem?",NEGATIVE,"[('1', 'Numerals that do not fall under another type'), ('NatWest', 'Companies, agencies, institutions, etc.')]","[('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG')]"
466,"How amazing was Dr John Demartini on the Healthy Habit Hotseat last week?

If you havent checked it out yet, nows https://t.co/1DI74tGN5Z",POSITIVE,"[('John Demartini', 'People, including fictional'), ('the Healthy Habit Hotseat', 'Companies, agencies, institutions, etc.'), ('last week', 'Absolute or relative dates or periods')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Health', 'B-MISC'), ('##y', 'I-ORG'), ('Ha', 'I-MISC'), ('##bit', 'I-ORG'), ('Hot', 'I-MISC'), ('##sea', 'I-MISC'), ('##t', 'I-ORG')]"
467,"EVERYONE HERE SEEM TO SUFFER FROM STOCKHOLM SYNDROME OF LONGTERM EXPLOITATION OF BEING A TENANT!!!

COME ON PEOPLE STOP SUFFERING IN SILENCE!

IT IS NOT YOUR FAULT BEING IN THE GRIP OF LANDLORDS!

WHERE ARE ALL THE HIGHLY PAYED POLITICIANS MEANT TO LOOK OUT FOR YOU!

MINIMUM WAGE STRETCHES A LONG WAY when youâ€™re a TENANT:

- Landlordâ€™s MORTGAGE ADVISER
- Landlordâ€™s BUY TO LET MORTGAGE
- Landlordâ€™s BANK INTERESTS
- Landlordâ€™s PROPERTY PORTFOLIO 
- Landlordâ€™s SAVINGS
- Landlordâ€™s TAXES
- Landlordâ€™s TAX ADVICE and ACCOUNTANTS
- Landlordâ€™s BUILDING INSURANCE
- Landlordâ€™s PROPERTY MANAGEMENT 
- Landlordâ€™s PROPERTY MAINTENANCE

Anything else?

And they say:
â€œYOU SILLY SCROUNGER, WHY DONâ€™T YOU WORK HARDER AND SAVE UP!!!â€

WE CAN NOT DENY THERE IS SYSTEMATIC, ORGANISED EXPLOITATION OF PEOPLE EARNING MINIMUM WAGE AND PAYING OFF PRIVATE LANDLORDS EXTENSIVE PROPERTY PORTFOLIOS, 
BUY TO LET MORTGAGES!!! 

UK IS 46TH IN HOMEOWNERSHIP BEHIND THIRD WORLD COUNTRIES WITH 37% OF POPULATION IS INVISIBLE HOMELESS!!!

WE NEED HOUSING REFORM, RENT TO BUY, RENT TO OWN!!!

A LIFETIME OF RENT GOES TOWARDS HOMEOWNERSHIP!!!
",NEGATIVE,"[('SILLY', 'Countries, cities, states'), ('SYSTEMATIC', 'Companies, agencies, institutions, etc.'), ('ORGANISED', 'Countries, cities, states'), ('PORTFOLIOS', 'Companies, agencies, institutions, etc.'), ('BUY', 'Companies, agencies, institutions, etc.'), ('UK', 'Countries, cities, states'), ('46TH', 'Numerals that do not fall under another type'), ('37%', 'Percentage, including ""%""')]","[('MI', 'B-PER'), ('OR', 'B-PER'), ('MI', 'B-PER'), ('O', 'B-PER')]"
468,"I PARTNERED WITH TONY ROBBINS, DEAN GRAZIOSI AND RUSSELL BRUNSON! These are 3 people I admire the most when it come https://t.co/SEiKwnh46t",POSITIVE,"[('DEAN GRAZIOSI', 'People, including fictional'), ('RUSSELL', 'People, including fictional'), ('3', 'Numerals that do not fall under another type')]","[('TO', 'B-PER'), ('##O', 'B-PER'), ('DE', 'B-MISC'), ('##RA', 'I-MISC'), ('##Z', 'I-MISC')]"
469,Tnx lot my great Doctor.☑️👏💓,POSITIVE,"[('👏', 'Companies, agencies, institutions, etc.')]",[]
470,"More WorldClass Keynote Speakers flying into Cardiff to speak at #Introbiz business events..ðŸ´ó §ó ¢ó ·ó ¬ó ³ó ¿ðŸ›©ðŸ‡®ðŸ‡ª
Donâ€™t miss Gâ€¦ https://t.co/9KOM8ZurDP",NEUTRAL,"[('WorldClass Keynote Speakers', 'Companies, agencies, institutions, etc.'), ('Introbiz', 'Nationalities or religious or political groups'), ('Gâ€¦', 'People, including fictional')]","[('World', 'B-MISC'), ('##C', 'I-MISC'), ('##lass', 'I-MISC'), ('Key', 'I-MISC'), ('Cardiff', 'B-LOC')]"
471,"you have taken away the savers card as the card was eaten by the cash machine, we had no notification that this service was ending and now have no access to money and cant buy food or pay bills, your customer service is non existant, cant get through on the phone lines, no live chat and cant get an appointment in any branch of HSBC, you have kept savings and we cant get them now.  Disgusting service from HSBC I will be contacting the CEO",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('Disgusting', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
472,"RT @FNAnetwork: This method is the Best!!!! https://t.co/8RvWuRYaNq

success #lawofsuccess #affiliatemarketing #makemoneyonline wahm motiva",POSITIVE,"[('RT @FNAnetwork', 'Companies, agencies, institutions, etc.'), ('#', 'Numerals that do not fall under another type'), ('#affiliatemarketing #', 'Monetary values, including unit'), ('makemoneyonline', 'Monetary values, including unit')]",[]
473,"We have incurred I financial abuse from Nat West my wife paid  Â£1235.15 to Nat West from her nationwide debt card  and Nat West lost this money or so they say and cannot help with this, Nationwide confirms it went to Nat West and gave my wife a ref number which she gave to Nat West but they still say they cannot help and they consider the matter closed, how many other people has this happed to. Nat West if you read this show you are a caring bank and give us some help with this. Your phone staff are no help ",NEGATIVE,"[('Nat West', 'Companies, agencies, institutions, etc.'), ('Nat West', 'People, including fictional'), ('Nat West', 'People, including fictional'), ('Nat West', 'People, including fictional'), ('ref', 'Companies, agencies, institutions, etc.'), ('Nat West', 'People, including fictional'), ('Nat West', 'People, including fictional')]","[('Nat', 'B-PER'), ('West', 'I-PER'), ('Â', 'B-MISC'), ('Nat', 'B-PER'), ('West', 'I-PER'), ('Nat', 'B-PER'), ('West', 'I-PER'), ('Nation', 'B-ORG'), ('##wide', 'I-ORG'), ('Nat', 'B-PER'), ('West', 'I-PER'), ('Nat', 'B-PER'), ('West', 'I-PER'), ('Nat', 'B-PER'), ('West', 'I-PER')]"
474,"HSBC pretend to be good, but they do not care one sec for their customers. Simply no customer service to find at all",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('one', 'Numerals that do not fall under another type'), ('sec', 'Companies, agencies, institutions, etc.')]","[('H', 'B-ORG'), ('##SB', 'B-ORG'), ('##C', 'I-ORG')]"
475,"The concept of having a list of ways to immediately change how you feel like @TonyRobbins describes in #awakenthegiantwithin can be really useful.
I just need to be more aware of when to use it during the day!",POSITIVE,"[('#', 'Numerals that do not fall under another type'), ('the day', 'Absolute or relative dates or periods')]","[('Tony', 'B-PER'), ('##R', 'I-PER'), ('##ob', 'I-PER'), ('##bin', 'I-PER'), ('##s', 'I-PER')]"
476,"Yes, I too feel like being stuck on the ""How"". This is the barrier for me to think about ""What"" &  ""Why"".

An amazing topic dear Sir. Incredible.",POSITIVE,[],"[('How', 'B-MISC')]"
477,"This hits home for me so deeply (I can't read and watch this without crying I have all this embedded in my soul)....my husband Sgt Scott returned back from across seas w/unbelievable amount of issues. We fought for help for many years (military hospitals.doctors.psychologist)......the list goes on and on. (His story is a very dramatic movie yet untold). It's an never ending battle and it only worsens in time. Love and prayers to all those suffering and their caretakers and families as well...much love my heart and prayers go out to you all. 
??????",POSITIVE,"[('Sgt Scott', 'People, including fictional'), ('many years', 'Absolute or relative dates or periods')]","[('Scott', 'B-PER')]"
478,Touched and Agreed Doc. Continued success and blessings 👏 Highest regards,POSITIVE,"[('Agreed Doc', 'People, including fictional')]",[]
479,"We welcome Dr John Demartini; a world renowned specialist in human behavior, a researcher, author and global educatâ€¦ https://t.co/4duYFi7f9n",NEUTRAL,"[('John Demartini', 'People, including fictional'), ('¦', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
480,"I tried to open an account with them for my son on his 11th Birthday, I bank with them and I could do it online. 
They sent me a letter stating that because he doesnâ€™t have a mobile phone number or email address I have to go into a branch to finish it off-at the height of a pandemic!! 
Why would an 11 year old have their own mobile phone or email address (just turned 11, still in Primary school!) 
Just going to go elsewhere instead. ",NEGATIVE,"[('11th', '""first"", ""second"", etc.'), ('11 year old', 'Absolute or relative dates or periods'), ('11', 'Absolute or relative dates or periods')]",[]
481,RT @KennethHolland: A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/m64oGZlbiR,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('ThankfulThursday', 'Monetary values, including unit')]","[('Kenneth', 'B-ORG'), ('##H', 'I-ORG'), ('##oll', 'I-ORG'), ('##and', 'I-ORG'), ('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
482,"We are delighted to be partnered with 17 universities across the UK in training staff to support #autistic students. Letâ€™s work together to boost the neurodiversity of the nationâ€™s workforce! #EmployAutism @santanderuk  
Find out more: https://t.co/Ev2gnsFPEd https://t.co/Vpw20IzB8q",POSITIVE,"[('17', 'Numerals that do not fall under another type'), ('UK', 'Countries, cities, states'), ('#EmployAutism @santanderuk', 'Monetary values, including unit')]","[('UK', 'B-LOC')]"
483,All aspects of my life,NEUTRAL,[],[]
484,Very good!,POSITIVE,[],[]
485,Yet when Iâ€™m transferring money between my own accounts you keep blocking it because you think itâ€™s fraudulentðŸ˜¡ getting bored of having to sort this crap out now,NEGATIVE,[],[]
486,Dr John Demartini: Personal &amp; Professional Development. Empowering Leadership &amp; Performance in Business and Life. https://t.co/XRlIReQrcD,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('Professional Development', 'Companies, agencies, institutions, etc.'), ('Performance in Business and Life', 'Companies, agencies, institutions, etc.')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
487,Singapore this is Aila Great to be here listening to you.?? Main inspirational person Vishen Lakhiani Love him his voice speech and ENERGY????,POSITIVE,"[('Singapore', 'Countries, cities, states'), ('Aila Great', 'People, including fictional'), ('Vishen Lakhiani', 'People, including fictional')]","[('Singapore', 'B-LOC'), ('Ai', 'B-PER'), ('##la', 'B-PER'), ('Great', 'I-PER'), ('V', 'B-PER'), ('##ish', 'B-PER'), ('##en', 'B-PER'), ('La', 'I-PER'), ('##kh', 'I-PER'), ('##ian', 'I-PER')]"
488,"@gary_zukav @Vishen @mindvalley Great interview. Love how open you are, Gary.",POSITIVE,"[('Gary', 'People, including fictional')]","[('V', 'B-PER'), ('Gary', 'B-PER')]"
489,"""Jealousy should be envisioned as a gift of self-empowerment and not as the curse we may have assumed it to be"" dr… https://t.co/QGew3Wglus",NEUTRAL,[],[]
490,Good morning!,NEUTRAL,"[('morning', 'Times smaller than a day')]",[]
491,Financial fitness plan don't make me laugh....  you have lost a customer who has been banking with you for over 25 years because of your lack of customer service and unable to change my bank and credit card...  I never realised how easy it was to move everything to somebody else !,NEGATIVE,"[('25 years', 'Absolute or relative dates or periods')]",[]
492,"If you dont fill your day with high priority actions, low priority distractions will fill your day. - Dr John DeMartini @DemartiniDr",NEUTRAL,"[('John DeMartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##M', 'I-PER'), ('##art', 'I-PER'), ('De', 'B-LOC'), ('##mart', 'I-LOC'), ('##D', 'I-ORG')]"
493,Can someone please tell me how to get through to my local branch please as I just keep getting through to silly call centres & the people answering those calls canâ€™t help me. They say they get will intouch with my branch to â€˜request a call backâ€™ for me but I never receive that call back. How am I supposed to speak with someone about an urgent matter if I canâ€™t get hold of my branch?.,NEGATIVE,[],[]
494,Lets hope the response is slicker than last time and there are no 3 hour + phone queues (to then get cut off!).,NEGATIVE,"[('no 3 hour +', 'Times smaller than a day')]",[]
495,"This book cost me $5, in an airport in India. Tested out one strategy with a small amount of money, made a 350% return in three years.
Desire, Will and WiFi ... You are in business.
#Patience #SmallActions #Strategy #Money #FinancialEducation #Forbes #Investor #TonyRobbins ?? https://t.co/EJjPsJgQ5S",POSITIVE,"[('5', 'Monetary values, including unit'), ('India', 'Countries, cities, states'), ('one', 'Numerals that do not fall under another type'), ('350%', 'Percentage, including ""%""'), ('three years', 'Absolute or relative dates or periods'), ('Will', 'People, including fictional'), ('WiFi', 'People, including fictional'), ('#Patience #', 'Monetary values, including unit')]","[('India', 'B-LOC'), ('##A', 'I-MISC'), ('Tony', 'B-ORG')]"
496,"It was my absolute pleasure to interview Dr John Demartini on Mondays episode of The Healthy Habit Hotseat. 

The https://t.co/e90YAr48yy",POSITIVE,"[('John Demartini', 'People, including fictional'), ('The Healthy Habit Hotseat', 'Companies, agencies, institutions, etc.')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('The', 'B-MISC'), ('Health', 'I-MISC'), ('##y', 'I-MISC'), ('Ha', 'I-MISC'), ('##bit', 'I-MISC'), ('Hot', 'I-MISC'), ('##sea', 'I-MISC'), ('##t', 'I-MISC')]"
497,"Even when you do speak to someone it's like having a conversation in a wind tunnel. I've never heard such terrible quality on a phone line, even the hold music breaks up ðŸ˜©",NEGATIVE,[],[]
498,"This bookworm is very hungry...32,000 books read, sort of hungry!! ???? - *|https://t.co/pUOe2woHzP|* Meet this weeks https://t.co/wymLvyy2XP",NEUTRAL,"[('32,000', 'Numerals that do not fall under another type'), ('Meet this weeks', 'Absolute or relative dates or periods')]",[]
499,"RT @soulscaping: A RARE FREE TRAINING with Tony Robbins, Russell Brunson, and Dean Graziosi, 3 people I admire the most when it comes to bu",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Russell Brunson', 'People, including fictional'), ('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('3', 'Numerals that do not fall under another type')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER')]"
500,"Excool is delighted to be ranked 30th on the Sunday Times HSBC International Track 200. @HSBCUKBusiness @ST_FastTrack.
This is a testament to the teamâ€™s hard work. #HSBCIntTrack200.

https://t.co/6097X2a1c1",POSITIVE,"[('Excool', 'Companies, agencies, institutions, etc.'), ('30th', '""first"", ""second"", etc.'), ('the Sunday Times HSBC International', 'Companies, agencies, institutions, etc.'), ('200', 'Numerals that do not fall under another type')]","[('Ex', 'B-ORG'), ('##co', 'I-ORG'), ('##ol', 'I-ORG'), ('Sunday', 'B-MISC'), ('Times', 'I-MISC'), ('H', 'B-MISC'), ('##SB', 'I-ORG'), ('##C', 'I-MISC'), ('International', 'I-MISC'), ('Track', 'I-MISC'), ('200', 'I-MISC'), ('ST', 'B-ORG'), ('Fast', 'I-ORG'), ('##T', 'I-ORG')]"
501,"@empirepowder Sounds like â€œunbundling Mindvalleyâ€ programs.

This is cool. Thanks.",POSITIVE,"[('Mindvalleyâ€\x9d programs', 'People, including fictional')]",[]
502,RT @0MMONET: Youâ€™ll discover transformational wisdom and ideas not yet covered in mainstream learning. https://t.co/I5OuTA9xxA #0MMOTeam,POSITIVE,"[('RT @0MMONET', 'Companies, agencies, institutions, etc.'), ('0MMOTeam', 'Monetary values, including unit')]",[]
503,"☢SCREW MOTIVATIONAL VIDEOS, QUOTES, AND SPEAKERS!!!🤬

This The True Reality Of Human  InspirationBy Vishen Lakhiani. ✨

#inspirationalquotes #successquote #mindvalley @mindvalley @Vishen @drmichaelbb @writingbeast2 https://t.co/q8YC9BAa6M",POSITIVE,"[('☢SCREW MOTIVATIONAL', 'Named hurricanes, battles, wars, sports events, etc.'), ('Vishen Lakhiani', 'People, including fictional'), ('#inspirationalquotes #', 'Monetary values, including unit'), ('#', 'Numerals that do not fall under another type'), ('@writingbeast2', 'Companies, agencies, institutions, etc.')]","[('V', 'B-PER'), ('##ish', 'B-PER'), ('La', 'I-PER'), ('##kh', 'I-PER'), ('##ian', 'I-PER')]"
504,"Thank you to @santanderuk for their incredible support after I fell victim to the @ThreeUK @ThreeUKSupport #PACscam.
Santanderâ€™s customer service has been second to none, proud to be a loyal customer!",POSITIVE,"[('PACscam', 'Companies, agencies, institutions, etc.'), ('second', '""first"", ""second"", etc.')]","[('Three', 'B-LOC')]"
505,"We are so pleased to have ranked 48th in The Sunday Times HSBC International Track 200. What a result! #WeAreSouthgate

@HSBCUKBusiness @ST_FastTrack 

SouthgateÂ®The Sunday Times Fast Track #HSBCIntTrack200 https://t.co/FtU6yT6cEs",POSITIVE,"[('48th', '""first"", ""second"", etc.'), ('The Sunday Times HSBC International', 'Companies, agencies, institutions, etc.'), ('200', 'Numerals that do not fall under another type')]","[('The', 'B-ORG'), ('Sunday', 'I-ORG'), ('Times', 'I-MISC'), ('H', 'B-MISC'), ('##SB', 'I-ORG'), ('##C', 'I-MISC'), ('International', 'I-MISC'), ('Track', 'I-MISC'), ('200', 'I-MISC'), ('H', 'B-LOC'), ('##CU', 'I-ORG'), ('ST', 'B-ORG'), ('Fast', 'I-ORG'), ('##gate', 'I-ORG'), ('Sunday', 'B-MISC'), ('Times', 'I-MISC')]"
506,This photo contains information about your company:  @Uber @UberEats @tonywest @darakhos @travisk @gc @softbankvcâ€¦ https://t.co/mK95cAEqbX,NEUTRAL,"[('¦', 'People, including fictional')]","[('U', 'B-ORG')]"
507,"You closed my account after 35 years, then blocked my ability to do an automatic switch to another bank who wanted my business. You now send me adverts offering me Â£125 to switch bank to you!! Never would I used an RBS group bank again",NEGATIVE,"[('35 years', 'Absolute or relative dates or periods'), ('RBS', 'Companies, agencies, institutions, etc.')]","[('Â', 'B-MISC'), ('RB', 'B-ORG'), ('##S', 'I-ORG')]"
508,"Tony Robbins, Dean Graziosi &amp; Russell Brunson GO LIVE! https://t.co/PGfXqXkv8u https://t.co/K2QLiavlqi",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi &', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
509,"But @hsbc sent my personal information to the wrong address for months if not years, didnâ€™t notice and donâ€™t care ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡",NEGATIVE,"[('months', 'Absolute or relative dates or periods')]",[]
510,"In @themusicreal E57, @Pushworth worth chats with leading world renowned specialist in human Behaviour, Dr John De https://t.co/vc6zsFGOhE",NEUTRAL,"[('John De', 'People, including fictional')]","[('P', 'B-PER'), ('##ush', 'B-PER'), ('John', 'B-PER'), ('De', 'I-PER')]"
511,"Day 1 of the enormous but extremely exciting undertaking by 19 branches of Santander across the Kent region spreading awareness and raising funds for the UKTS! 
We are extremely grateful for you support @santanderuk! https://t.co/zHFZF5lQSw",POSITIVE,"[('19', 'Numerals that do not fall under another type'), ('Santander', 'People, including fictional'), ('Kent', 'Companies, agencies, institutions, etc.')]","[('Santa', 'B-ORG'), ('##nder', 'I-ORG'), ('Kent', 'B-LOC'), ('UK', 'B-ORG'), ('##TS', 'I-ORG')]"
512,"â€œWhen you follow the dream in your heart, you're energised, inspired, and motivated."" - Dr. John F. Demartini 

#Quote",NEUTRAL,"[('â€œWhen', 'People, including fictional'), ('John F. Demartini #', 'People, including fictional')]","[('John', 'B-PER'), ('F', 'I-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
513,"I have messaged NatWest twice now, your help robot dies not understand that I am applying for a payment holiday.  The instructions on your FAQ page do not work. I have tried to call you but they keep me on hold or put me through to the wrong department.  Please pm me asap",NEGATIVE,"[('NatWest', 'Companies, agencies, institutions, etc.'), ('FAQ', 'Companies, agencies, institutions, etc.')]","[('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG')]"
514,"RT @TonyRobbins: ?? Im excited to share that next Tuesday, April 30th at 5 PM PT (8 PM Eastern) Ill be sitting down with my dear friend D",NEUTRAL,"[('next Tuesday, April 30th', 'Absolute or relative dates or periods'), ('5 PM PT', 'Times smaller than a day'), ('8 PM Eastern', 'Times smaller than a day'), ('I\x92ll', 'Countries, cities, states')]","[('Tony', 'B-PER'), ('##R', 'I-PER'), ('##ob', 'I-ORG'), ('##bin', 'I-ORG'), ('Eastern', 'B-MISC')]"
515,"Get fit and lose weight with our intense fat burning cardio workout.
Full Workout: https://t.co/OQOqn11oK1â€¦ https://t.co/7rGgm2YSqp",NEUTRAL,[],[]
516,"Thank you very,very,very much, Dr Demartini,",POSITIVE,"[('Dr Demartini', 'People, including fictional')]","[('De', 'B-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
517,Dr John Demartini: World Renowned Human Behavioral Specialist Reveals How Entrepreneurs Can Thrive During A Crisis https://t.co/becfj8m1jD,POSITIVE,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('World', 'B-MISC'), ('Reno', 'I-MISC'), ('##wned', 'I-MISC'), ('Be', 'I-MISC')]"
518,"Success is the result of good judgement, which is the result of experience and experience is often the result of ba https://t.co/tVu8alvKIR",NEUTRAL,"[('Success', 'Companies, agencies, institutions, etc.')]",[]
519,Answer the phone you bunch of mongs!! Absolute dire customer service as always,NEGATIVE,[],[]
520,Dean Graziosi is a NY Times Best Selling Author along with one of the top motivation and real estate trainers in th… https://t.co/lWsQbTcD9f,POSITIVE,"[('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('NY Times', 'Companies, agencies, institutions, etc.')]","[('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('NY', 'B-MISC'), ('Times', 'I-MISC')]"
521,Setting goals is the first step in turning the invisible into the visible. ~Tony Robbins,NEUTRAL,"[('first', '""first"", ""second"", etc.'), ('Robbins', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
522,"@Uber @travisk @dkhos 

DARA HOW DO U LIVE W URSELF BEING A SLAVE?

TRAVIS UR GREED IS UNMATCHED.

TOAST AF BRUH

ðŸžâ€¦ https://t.co/EGPtwMIoGu",NEGATIVE,"[('TRAVIS UR GREED', 'Objects, vehicles, foods, etc. (not services)'), ('UNMATCHED', 'Companies, agencies, institutions, etc.'), ('¦', 'People, including fictional')]","[('D', 'B-ORG'), ('##AR', 'I-ORG')]"
523,The Nat West blocked my online banking and can't get back on without boss say so and he's only working PT 3 days a week thinking of changing my bank ðŸ˜­,NEGATIVE,"[('3 days week', 'Absolute or relative dates or periods')]","[('Nat', 'B-PER'), ('West', 'I-PER'), ('PT', 'B-MISC')]"
524,@HSBC_CA Thank you so much for having us! ðŸ™ðŸ¼ðŸ’šðŸ™ðŸ¼,POSITIVE,[],"[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('_', 'I-ORG'), ('CA', 'I-ORG')]"
525,Whatever we think about and thank about we bring about. Dr. John Demartini,NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
526,"Dr. La Perlas book is by far my favorite at the moment. Its deep and has given me such a different perspective on a personal level. 

Its truly is transformational.",POSITIVE,"[('La', 'People, including fictional')]","[('La', 'B-PER'), ('Per', 'I-PER'), ('##las', 'I-MISC')]"
527,"If you know anything about Tony Robbins, Dean Graziosi and Russell Brunson (3 people I really look up to and respec https://t.co/Avou21VbdY",POSITIVE,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional'), ('3', 'Numerals that do not fall under another type'), ('respec', 'Countries, cities, states')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('##i', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
528,"I PARTNERED WITH TONY ROBBINS, DEAN GRAZIOSI AND RUSSELL BRUNSON!

These are 3 people I admire the most when it comâ€¦ https://t.co/mMGB1G0Y3D",POSITIVE,"[('DEAN GRAZIOSI', 'People, including fictional'), ('RUSSELL', 'People, including fictional'), ('3', 'Numerals that do not fall under another type')]","[('TO', 'B-PER'), ('DE', 'B-MISC'), ('##RA', 'I-MISC'), ('##Z', 'I-MISC')]"
529,"Great session @BarclaysAccess for your first #BurstTheBubble event. Great fireside chat with @KateNashOBE and Vandana at Barclays. All things invisible disability and the work place. First things first, COMMUNICATE!",POSITIVE,"[('first', '""first"", ""second"", etc.'), ('@KateNashOBE', 'Companies, agencies, institutions, etc.'), ('Vandana', 'Companies, agencies, institutions, etc.'), ('Barclays', 'Absolute or relative dates or periods'), ('First', '""first"", ""second"", etc.'), ('first', '""first"", ""second"", etc.'), ('COMMUNICATE', 'Companies, agencies, institutions, etc.')]","[('Barclay', 'B-ORG'), ('##s', 'I-ORG'), ('##A', 'I-ORG'), ('##ess', 'I-ORG'), ('Kate', 'B-PER'), ('##N', 'I-ORG'), ('##ash', 'I-ORG'), ('Van', 'B-PER'), ('##dan', 'I-ORG'), ('Barclay', 'B-ORG'), ('##s', 'I-ORG')]"
530,"@momobrewer @thomaskaine5 He is a charismatic cult leader, on par with Tony Robbins, but wrapped up in the garb of https://t.co/zDSiNVMrT1",NEGATIVE,"[('@thomaskaine5 He', 'Companies, agencies, institutions, etc.'), ('Tony Robbins', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
531,Sort your appalling customer service out before wishing people Happy Christmas.,NEGATIVE,"[('Christmas', 'Absolute or relative dates or periods')]",[]
532,RT @Uber_Sedo: @travisk Uber Miles bids ( sedo ) https://t.co/0s3IGSDSQe,NEUTRAL,"[('Uber Miles', 'People, including fictional'), ('sedo', 'People, including fictional')]","[('Se', 'I-MISC'), ('U', 'B-ORG'), ('Miles', 'I-ORG')]"
533,"""Doing what you love and loving what you do makes you feel younger and more vital"" 
Dr John F. Demartini",NEUTRAL,"[('John F. Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('F', 'I-PER'), ('.', 'I-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
534,"Been with this toytown bank for 52years, we deserve better treatment surely. Get up off your backsides and help your customers who put money in your pockets, and then you treat us like lepers, as you don't want us in your bank in person.",NEGATIVE,"[('52years', 'Numerals that do not fall under another type')]",[]
535,"HSBC

Good morning.   I work for a third party - a mortgage broker - and I am trying to get through to someone who can check on the progress of a request we have sent regarding a mutual customer.  

So far I have been hung up on, transferred to a silent line or told that I need to call another department - the wrong one.

I have just held for seven minutes to get through to an line where there is no-one there.  I know we are in a pandemic but other banks seem to be coping a lot better.

The number I am phoning is  03706 007722.  Normally, we pick option 3.  I am picking that option but I am getting through to the solicitor line.

Please advise.  
",NEGATIVE,"[('morning', 'Times smaller than a day'), ('third', '""first"", ""second"", etc.'), ('seven minutes', 'Times smaller than a day'), ('03706 007722', 'Absolute or relative dates or periods'), ('3', 'Numerals that do not fall under another type')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
